epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.137,0.84548,3.72955,1.23702,0.00878,1,0.19989,0.16572,0.56445,4.12278,1.00512,0.00011339,0.00011339,0.00011339
2,325.507,0.63341,3.1226,1.09628,0.00841,1,0.2931,0.24786,0.58681,3.5997,0.99007,0.000228828,0.000228828,0.000228828
3,483.44,0.62835,2.6635,1.08871,0.94616,0.05785,0.36182,0.29425,0.72882,3.46755,1.11087,0.000339511,0.000339511,0.000339511
4,650.544,0.65585,2.32552,1.06603,0.24847,0.60497,0.43178,0.37491,0.64932,2.694,1.05252,0.00044544,0.00044544,0.00044544
5,808.413,0.6723,2.03507,1.06487,0.30488,0.72853,0.54296,0.44601,0.72493,2.44338,1.16808,0.000546615,0.000546615,0.000546615
6,967.832,0.63212,1.85635,1.03742,0.36416,0.80382,0.60696,0.49786,0.69973,2.26971,1.09117,0.000600967,0.000600967,0.000600967
7,1125.49,0.61971,1.7,1.03418,0.66765,0.69174,0.68449,0.57286,0.68508,2.35582,1.09806,0.00058776,0.00058776,0.00058776
8,1283.09,0.62461,1.59719,1.03503,0.49494,0.80999,0.73302,0.62684,0.70259,2.16716,1.18052,0.000574554,0.000574554,0.000574554
9,1440.99,0.61221,1.50084,1.02659,0.75228,0.71048,0.73313,0.61616,0.6485,2.0698,1.06374,0.000561347,0.000561347,0.000561347
10,1600.63,0.60536,1.40179,1.02715,0.852,0.71124,0.82248,0.7285,0.60081,1.89238,1.01891,0.000548141,0.000548141,0.000548141
11,1757.19,0.60804,1.35771,1.0078,0.63877,0.81292,0.80543,0.68791,0.67484,2.03585,1.15849,0.000534934,0.000534934,0.000534934
12,1913.96,0.56649,1.24671,0.98328,0.81128,0.81968,0.90777,0.7961,0.65882,1.59527,1.05278,0.000521727,0.000521727,0.000521727
13,2070.09,0.57963,1.2398,1.00166,0.83786,0.86002,0.90241,0.78539,0.69863,1.50968,1.08599,0.000508521,0.000508521,0.000508521
14,2227.05,0.60106,1.2229,1.00651,0.79611,0.79316,0.87762,0.76033,0.65519,1.59675,1.01934,0.000495314,0.000495314,0.000495314
15,2384.3,0.56011,1.09227,0.97723,0.85997,0.86487,0.91477,0.81849,0.59983,1.50524,0.994,0.000482108,0.000482108,0.000482108
16,2541.82,0.5516,1.08631,0.97284,0.80187,0.93102,0.94808,0.84264,0.60229,1.35126,1.02675,0.000468901,0.000468901,0.000468901
17,2698.06,0.54696,1.04789,0.98616,0.90387,0.86967,0.95927,0.8476,0.62676,1.36597,1.02055,0.000455694,0.000455694,0.000455694
