epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1823,0.89299,3.51929,1.33301,0.00358,1,0.08289,0.05922,0.47006,4.07157,1.09747,6.363e-05,6.363e-05,6.363e-05
2,126.031,0.57516,3.30071,1.1371,0.00499,1,0.20662,0.17496,0.39584,4.01635,1.01042,0.00013365,0.00013365,0.00013365
3,184.295,0.46047,3.01647,1.0885,0.00556,1,0.21615,0.19236,0.38982,3.9161,0.98622,0.000200791,0.000200791,0.000200791
4,243.591,0.46226,2.8485,1.04983,0.00494,1,0.17896,0.1564,0.47604,3.857,1.04863,0.000265052,0.000265052,0.000265052
5,305.68,0.48047,2.64608,1.05444,0.00577,1,0.24044,0.21835,0.43631,3.80253,1.01211,0.000326433,0.000326433,0.000326433
6,373.439,0.50733,2.42819,1.05045,0.00456,1,0.29964,0.27359,0.45925,3.52556,1.08593,0.000384934,0.000384934,0.000384934
7,444.932,0.49766,2.28083,1.0586,0.28755,0.41135,0.369,0.33475,0.61073,3.36354,1.16536,0.000440556,0.000440556,0.000440556
8,514.382,0.49456,2.11841,1.04615,0.50234,0.275,0.41464,0.30079,0.86253,3.30793,1.395,0.000493298,0.000493298,0.000493298
9,582.813,0.47871,2.06539,1.06863,0.31263,0.64947,0.4809,0.3888,0.67685,3.20737,1.28879,0.00054316,0.00054316,0.00054316
10,653.636,0.50061,1.87379,1.05329,0.51345,0.63163,0.70885,0.52896,0.65457,2.8824,1.28279,0.000590143,0.000590143,0.000590143
11,724.459,0.48335,1.68067,1.0352,0.70314,0.56261,0.72787,0.53835,0.63012,2.80619,1.22212,0.000634246,0.000634246,0.000634246
12,795.818,0.4839,1.48523,1.05774,0.60476,0.58316,0.75281,0.60589,0.63241,2.98219,1.30606,0.000675469,0.000675469,0.000675469
13,868.856,0.47857,1.3695,1.0525,0.54512,0.77316,0.77296,0.65813,0.5847,3.70441,1.2804,0.000693022,0.000693022,0.000693022
14,942.559,0.45103,1.27839,1.01388,0.75439,0.64029,0.82571,0.68285,0.62997,3.05404,1.29855,0.000675023,0.000675023,0.000675023
15,1016.55,0.47847,1.26798,1.04733,0.7732,0.80519,0.86679,0.74786,0.56453,2.84231,1.18913,0.000657025,0.000657025,0.000657025
16,1093.04,0.45209,1.15039,1.01326,0.57228,0.74776,0.74007,0.6137,0.56884,3.53577,1.266,0.000639027,0.000639027,0.000639027
17,1168.41,0.43518,1.11645,1.00428,0.55844,0.64919,0.64774,0.55242,0.61303,4.84277,1.3098,0.000621029,0.000621029,0.000621029
18,1243.87,0.42024,1.04825,0.99179,0.57714,0.87324,0.81723,0.68674,0.53511,3.90648,1.18425,0.000603031,0.000603031,0.000603031
19,1318.58,0.42856,1.01612,1.01055,0.60634,0.86551,0.85051,0.7192,0.55284,2.69623,1.19409,0.000585032,0.000585032,0.000585032
20,1394.04,0.41692,1.04613,0.98096,0.66517,0.88844,0.85911,0.72206,0.55004,2.21947,1.1756,0.000567034,0.000567034,0.000567034
21,1470.05,0.42014,0.99565,0.98934,0.56621,0.9174,0.87505,0.7101,0.52466,2.11083,1.15352,0.000549036,0.000549036,0.000549036
22,1545.65,0.41136,1.02684,0.98284,0.71766,0.90093,0.92581,0.82331,0.48057,1.69929,1.09108,0.000531038,0.000531038,0.000531038
23,1621.15,0.37834,0.93657,0.98485,0.69639,0.89883,0.93146,0.79058,0.49031,1.66451,1.08934,0.00051304,0.00051304,0.00051304
24,1698.85,0.39755,0.91324,0.95996,0.89338,0.8406,0.92049,0.77841,0.5661,1.68527,1.18435,0.000495041,0.000495041,0.000495041
25,1776.56,0.39563,0.90054,0.99643,0.84872,0.75325,0.90898,0.72723,0.62196,1.91203,1.21301,0.000477043,0.000477043,0.000477043
26,1853.48,0.3739,0.87996,0.94717,0.86141,0.91577,0.93737,0.73154,0.62544,1.8899,1.19505,0.000459045,0.000459045,0.000459045
27,1932.57,0.40626,0.90986,0.97651,0.88345,0.90587,0.91572,0.76485,0.55924,1.54457,1.13794,0.000441047,0.000441047,0.000441047
28,2011.92,0.3773,0.85641,0.95876,0.87221,0.91143,0.91489,0.81153,0.50165,1.55368,1.06009,0.000423049,0.000423049,0.000423049
29,2089.34,0.36239,0.86239,0.94742,0.84267,0.86127,0.90249,0.79116,0.46365,1.59966,1.02319,0.00040505,0.00040505,0.00040505
30,2166.12,0.35336,0.77499,0.97124,0.79519,0.87735,0.90826,0.79037,0.49449,1.66711,1.06057,0.000387052,0.000387052,0.000387052
31,2243.34,0.37469,0.75836,0.9699,0.76929,0.90757,0.92379,0.81015,0.53298,1.67118,1.11037,0.000369054,0.000369054,0.000369054
32,2321.98,0.34679,0.8374,0.99304,0.7747,0.92688,0.92552,0.76366,0.70006,1.73053,1.22,0.000351056,0.000351056,0.000351056
33,2400.72,0.36068,0.80421,0.97938,0.86858,0.8763,0.93315,0.75803,0.73403,1.66117,1.27473,0.000333058,0.000333058,0.000333058
34,2480.11,0.38715,0.83757,0.97833,0.86775,0.90728,0.94758,0.81613,0.615,1.53564,1.1415,0.000315059,0.000315059,0.000315059
35,2558.62,0.36467,0.76493,0.96122,0.87898,0.91391,0.92027,0.79074,0.50694,1.53519,1.05516,0.000297061,0.000297061,0.000297061
36,2637.04,0.32648,0.73833,0.93219,0.88148,0.89932,0.92322,0.81619,0.50432,1.51201,1.04635,0.000279063,0.000279063,0.000279063
37,2717.16,0.35898,0.7314,0.96756,0.90486,0.87187,0.96121,0.84546,0.48821,1.40967,1.02745,0.000261065,0.000261065,0.000261065
38,2800.07,0.34529,0.76314,0.93456,0.8975,0.89784,0.96662,0.83388,0.47636,1.30236,1.02717,0.000243067,0.000243067,0.000243067
39,2879.92,0.3114,0.7196,0.93044,0.92716,0.8934,0.96443,0.8578,0.46278,1.2849,1.02684,0.000225068,0.000225068,0.000225068
40,2957.59,0.31521,0.68789,0.95538,0.93347,0.90456,0.9662,0.8616,0.479,1.28295,1.05005,0.00020707,0.00020707,0.00020707
41,3036.73,0.44883,1.5445,1.0879,0.9328,0.89637,0.95657,0.8121,0.54231,1.39717,1.10965,0.000189072,0.000189072,0.000189072
42,3116.2,0.33084,1.28598,0.95197,0.92487,0.87165,0.9456,0.78038,0.59513,1.62009,1.16706,0.000171074,0.000171074,0.000171074
43,3195.29,0.31609,1.19376,0.95734,0.95754,0.87709,0.96016,0.81663,0.53936,1.50353,1.14386,0.000153076,0.000153076,0.000153076
44,3275.27,0.26679,1.11433,0.93778,0.92533,0.94232,0.97116,0.83697,0.53505,1.39734,1.14442,0.000135077,0.000135077,0.000135077
45,3353.92,0.29279,1.03187,0.95098,0.94786,0.91334,0.96528,0.84363,0.52077,1.3627,1.10394,0.000117079,0.000117079,0.000117079
